"name","raw_label","business_type","subcategory","city","state","address","postcode","lat","lon","website_url","instagram_url","email","phone","cuisine_types","description","source","source_url","confidence","staging_status","notes"
"Meal Village","Chicago meal prep service","meal_prep","weekly_meal_prep","Chicago","IL","","","","","https://www.mealvillage.com/","","","","","Local prepared meal delivery service","direct_website","https://www.mealvillage.com/","high","normalized","Search result identifies it as Chicago meal prep service"
"Fittingly Delicious","Chicago meal prep service","meal_prep","fitness_meal_prep","Chicago","IL","","","","","https://www.fittinglydelicious.com/","","","","","Prepared meal and nutrition-focused meal prep service","direct_website","https://www.fittinglydelicious.com/","high","normalized","Search result identifies Chicago location"
"Kravee Meal Prep","Houston meal prep service","meal_prep","weekly_meal_prep","Houston","TX","","","","","https://www.kraveemealprep.com/","","","","","Healthy local meal prep and event catering","direct_website","https://www.kraveemealprep.com/","high","normalized","Site says healthy meal prep in Houston"
"Squatch Meals","Houston meal prep service","meal_prep","weekly_meal_prep","Houston","TX","","","","","https://squatchmeals.com/","","","","","Chef-prepared meal prep service","direct_website","https://squatchmeals.com/","high","normalized","Site indicates Houston-area meal prep"
"Dishin","NYC meal prep and catering","meal_prep","weekly_meal_prep","New York","NY","","","","","https://eatdishin.com/","","","","","Organic private-chef quality meal prep and catering","direct_website","https://eatdishin.com/","high","normalized","Site identifies New York City meal prep and catering"
"NYC Cooking Club","NYC ready-to-eat meal delivery","meal_prep","subscription_meals","New York","NY","","","","","https://nyccookingclub.com/","","","","","Ready-to-eat meal delivery service","direct_website","https://nyccookingclub.com/","high","normalized","Site identifies NYC ready-to-eat meal delivery"
"PeerMeal New York","New York meal prep service","meal_prep","weekly_meal_prep","New York","NY","","","","","https://peermeal.com/locations/new-york","","","","","Meal prep service location page for New York","direct_website","https://peermeal.com/locations/new-york","high","normalized","Location page specifically for New York"
"Compozure Meal Prep","NYC personal chef meal prep","meal_prep","personal_chef_meal_prep","New York","NY","","","","","https://www.compozure.co/personal-chef-meal-prep","","","","","Personal chef meal prep service","direct_website","https://www.compozure.co/personal-chef-meal-prep","high","normalized","Landing page explicitly for meal prep service in NYC"
"Perfectly Prepped LA","LA meal prep service","meal_prep","weekly_meal_prep","Los Angeles","CA","","","","","https://www.perfectlypreppedla.com/","","","","","Prepared meal delivery service in Los Angeles","direct_website","https://www.perfectlypreppedla.com/","high","normalized","Site identifies LA delivery windows"
"The Meal Preps","LA meal prep service","meal_prep","weekly_meal_prep","Los Angeles","CA","","","","","https://www.themealpreps.com/","","","","","Fresh build-your-own bowls delivered weekly","direct_website","https://www.themealpreps.com/","high","normalized","Site says delivering to LA, OC and Riverside"
"Chef Nourish","Los Angeles meal prep service","meal_prep","chef_prepared_meals","Los Angeles","CA","","","","","https://www.chefnourish.com/","","","","","Chef-prepared meal prep service","direct_website","https://www.chefnourish.com/","high","normalized","Previously verified LA meal prep site"
"Paneer Papa","Austin meal prep service","meal_prep","high_protein_meal_prep","Austin","TX","","","","","https://paneerpapa.com/","","","","","Austin-based high-protein meal prep service","direct_website","https://paneerpapa.com/","high","normalized","Site identifies Austin-based meal prep"
"Eats by ATX","Austin in-home meal prep service","meal_prep","personal_chef_meal_prep","Austin","TX","","","","","https://www.eatsbyatx.com/","","","","","In-home private chef and meal prep service","direct_website","https://www.eatsbyatx.com/","high","normalized","Site identifies Austin in-home private chef and meal prep"
"Full Stoke Kitchen","Austin meal prep service","meal_prep","weekly_meal_prep","Austin","TX","","","","","https://fullstokekitchen.com/","","","","","Fresh weekly meal prep service","direct_website","https://fullstokekitchen.com/","high","normalized","Site identifies Austin meal prep"
"Fit Kitchen TX","Austin chef-driven meal prep","meal_prep","chef_prepared_meals","Austin","TX","","","","","https://www.fitkitchentx.com/","","","","","Chef-driven meal prep delivery service","direct_website","https://www.fitkitchentx.com/","high","normalized","Site identifies Austin as primary market"
"TBD Foods","Denver chef-prepared meal prep","meal_prep","chef_prepared_meals","Denver","CO","","","","","https://www.tbdfoods.com/meal-prep-denver","","","","","Chef-prepared weekly delivery service","direct_website","https://www.tbdfoods.com/meal-prep-denver","high","normalized","Landing page explicitly for Denver meal prep"
"Meal Ninja","Tampa Bay meal prep service","meal_prep","weekly_meal_prep","Tampa","FL","","","","","https://themealninja.com/","","","","","Locally owned meal preparation and delivery service","direct_website","https://themealninja.com/","high","normalized","Site identifies Tampa Bay area"
"Primal Organic","Miami meal prep delivery","meal_prep","weekly_meal_prep","Miami","FL","","","","","https://www.primalorganicmiami.com/","","","","","Cooked in Miami meal prep delivery","direct_website","https://www.primalorganicmiami.com/","high","normalized","Site identifies Miami meal prep delivery"
"Mestiza Meal Prep Miami","Miami meal prep service","meal_prep","weekly_meal_prep","Miami","FL","","","","","https://mestizamealprepmiami.com/","","","","","Fresh ready-to-eat meal prep service","direct_website","https://mestizamealprepmiami.com/","high","normalized","Site identifies Miami meal prep"
"Eat Well Miami","Miami premium chef-prepared meals","meal_prep","chef_prepared_meals","Miami","FL","","","","","https://eatwellmia.com/","","info@eatwellmia.com","","","Premium chef-prepared meals delivered weekly","direct_website","https://eatwellmia.com/","high","normalized","Site identifies Miami/South Florida weekly delivery"
"MealSmart Meal Prep","Miami meal prep service","meal_prep","weekly_meal_prep","Miami","FL","","","","","https://www.mealsmartfl.com/","","","","","Weekly meal prep service serving Miami","direct_website","https://www.mealsmartfl.com/","high","normalized","Site identifies Miami service area"
