"name","raw_label","business_type","subcategory","city","state","address","postcode","lat","lon","website_url","instagram_url","email","phone","cuisine_types","description","source","source_url","confidence","staging_status","notes"
"Two Chefs Tables","Chicago Pop-Up Supper Club","supper_club","ticketed_dinner","Chicago","IL","RLM Studio","","","","","","","","","Chef-led pop-up supper club with 5-course tasting and cocktails","eventbrite_event","https://www.eventbrite.com/e/chicago-pop-up-supper-club-5-course-chef-tasting-craft-cocktails-tickets-1985237685358","medium","normalized","Organizer listed as Two Chefs Tables"
"Pioneer Works Supper Club","Supper Club with Calvin Eng","supper_club","ticketed_dinner","Brooklyn","NY","159 Pioneer Street","11231","","","","","members@pioneerworks.org","","","Community-focused supper club series featuring guest chefs","eventbrite_event","https://www.eventbrite.com/e/supper-club-with-calvin-eng-tickets-1982307916340","medium","normalized","Organizer listed as Pioneer Works"
"Dirty Dozen Supper Club","Dirty Dozen Supper Club - Season 2","supper_club","dinner_series","Los Angeles","CA","The Kookery Loft","","","","","","","","","Chef-led al fresco supper club experience","eventbrite_event","https://www.eventbrite.com/e/dirty-dozen-supper-club-season-2-tickets-1983921126495","medium","normalized","By Chef Shieya Evans & The Kookery"
"Ebi-Ayo Supper Club","2026 Los Angeles Ebi-Ayo Supper Club (Dinner Series)","supper_club","dinner_series","Los Angeles","CA","","","","","","","","","","Intimate chef-led dinner series rooted in culture and community","eventbrite_event","https://www.eventbrite.com/e/2026-los-angeles-ebi-ayo-supper-club-dinner-series-tickets-1980047575600","medium","normalized","Eventbrite listing for recurring dinner series"
"Southernchild Sunday Supper","Southernchild Sunday supper","supper_club","ticketed_dinner","Atlanta","GA","711 Catherine Street Southwest","30310","","","","","","","","Six-course tasting supper designed by Chef Rodney Smith","eventbrite_event","https://www.eventbrite.com/e/southernchild-sunday-supper-tickets-1371109368029","medium","normalized","Organizer listed as Rodney Smith"
"Chef Justin Smillie Slow Fires","Slow Fires Pop Up Dinner","pop_up","chef_pop_up","New York","NY","183 Christopher Street","10014","","","","","","","","Chef Justin Smillie pop-up dinner cooked with mobile wood-fired oven","eventbrite_event","https://www.eventbrite.com/e/chef-justin-smillies-slow-fires-pop-up-dinner-on-january-30th-and-31st-tickets-1980151477373","medium","normalized","Organizer listed as Heermance Events at 183"
"Basta Pop Up Chef Mati Vaknin","Basta Pop Up Chef Mati Vaknin","pop_up","chef_pop_up","North Miami Beach","FL","18501 NE 25th Ct","","","","","","","","","Chef-led pop-up dinner event","eventbrite_event","https://www.eventbrite.com/e/basta-pop-up-chef-mati-vaknin-tickets-1270062855189","medium","normalized","North Miami Beach pop-up dinner listing"
"Amalia Miami x Chef Gonzo Jimenez","Pop-up Dinner | Amalia Miami & Chef Gonzo Jimenez","pop_up","chef_pop_up","Miami Beach","FL","1900 Collins Avenue","33139","","","","","","","","Restaurant-hosted chef pop-up dinner with tasting menu","eventbrite_event","https://www.eventbrite.com/e/pop-up-dinner-amalia-miami-chef-gonzo-jimenez-tickets-1690591226869","medium","normalized","Organizer listed as Amalia Miami x Chef Gonzo Jimenez"
"LAKOU","LAKOU - Pop Up Dinner","pop_up","chef_pop_up","Los Angeles","CA","","","","","","","","","","Intimate chef pop-up by Chef Tee","eventbrite_event","https://www.eventbrite.com/e/lakou-pop-up-dinner-tickets-1977468808438","medium","normalized","Eventbrite describes intimate end-of-year pop-up"
"La Cocina Pop-Up Night Market","La Cocina Pop-Up Night Market 2025","pop_up","night_market","San Francisco","CA","332 Golden Gate Ave","","","","","","","","","Pop-up night market featuring food vendors","eventbrite_event","https://www.eventbrite.com/e/la-cocina-pop-up-night-market-2025-tickets-1717196273279","medium","normalized","Eventbrite listing for La Cocina pop-up market"
